,Outlet,Date,Positive,Negative,Neutral,Compound,Tweets Ago
0,@CNN,Sun Jun 10 15:25:07 +0000 2018,0.0,1.0,0.0,0.0,0
1,@CNN,Sun Jun 10 15:15:07 +0000 2018,0.336,0.664,0.0,0.8225,1
2,@CNN,Sun Jun 10 15:05:00 +0000 2018,0.0,0.862,0.138,-0.34,2
3,@CNN,Sun Jun 10 14:55:05 +0000 2018,0.0,1.0,0.0,0.0,3
4,@CNN,Sun Jun 10 14:44:05 +0000 2018,0.0,1.0,0.0,0.0,4
5,@CNN,Sun Jun 10 14:33:50 +0000 2018,0.0,0.833,0.167,-0.5859,5
6,@CNN,Sun Jun 10 14:15:55 +0000 2018,0.172,0.828,0.0,0.3612,6
7,@CNN,Sun Jun 10 14:01:03 +0000 2018,0.112,0.888,0.0,0.34,7
8,@CNN,Sun Jun 10 13:41:58 +0000 2018,0.107,0.893,0.0,0.34,8
9,@CNN,Sun Jun 10 13:31:10 +0000 2018,0.0,1.0,0.0,0.0,9
10,@CNN,Sun Jun 10 13:30:46 +0000 2018,0.0,1.0,0.0,0.0,10
11,@CNN,Sun Jun 10 13:26:44 +0000 2018,0.138,0.862,0.0,0.4927,11
12,@CNN,Sun Jun 10 13:18:03 +0000 2018,0.0,0.862,0.138,-0.4939,12
13,@CNN,Sun Jun 10 13:16:00 +0000 2018,0.0,1.0,0.0,0.0,13
14,@CNN,Sun Jun 10 13:08:52 +0000 2018,0.0,1.0,0.0,0.0,14
15,@CNN,Sun Jun 10 12:46:02 +0000 2018,0.238,0.762,0.0,0.6124,15
16,@CNN,Sun Jun 10 12:37:12 +0000 2018,0.0,1.0,0.0,0.0,16
17,@CNN,Sun Jun 10 12:16:00 +0000 2018,0.223,0.703,0.074,0.5859,17
18,@CNN,Sun Jun 10 12:01:02 +0000 2018,0.214,0.786,0.0,0.4576,18
19,@CNN,Sun Jun 10 11:53:06 +0000 2018,0.0,0.849,0.151,-0.5994,19
20,@BBC,Sun Jun 10 15:22:00 +0000 2018,0.196,0.804,0.0,0.6808,0
21,@BBC,Sun Jun 10 15:19:47 +0000 2018,0.201,0.799,0.0,0.7003,1
22,@BBC,Sun Jun 10 15:01:05 +0000 2018,0.154,0.61,0.236,-0.25,2
23,@BBC,Sun Jun 10 14:38:18 +0000 2018,0.0,1.0,0.0,0.0,3
24,@BBC,Sun Jun 10 14:37:55 +0000 2018,0.139,0.861,0.0,0.5719,4
25,@BBC,Sun Jun 10 13:02:07 +0000 2018,0.144,0.6,0.256,-0.4215,5
26,@BBC,Sun Jun 10 12:12:42 +0000 2018,0.139,0.861,0.0,0.5719,6
27,@BBC,Sun Jun 10 12:02:04 +0000 2018,0.0,1.0,0.0,0.0,7
28,@BBC,Sun Jun 10 10:58:07 +0000 2018,0.0,1.0,0.0,0.0,8
29,@BBC,Sun Jun 10 10:28:00 +0000 2018,0.0,0.88,0.12,-0.3818,9
30,@BBC,Sun Jun 10 10:11:08 +0000 2018,0.139,0.861,0.0,0.5719,10
31,@BBC,Sun Jun 10 10:01:05 +0000 2018,0.148,0.625,0.227,-0.4588,11
32,@BBC,Sun Jun 10 09:01:05 +0000 2018,0.0,1.0,0.0,0.0,12
33,@BBC,Sun Jun 10 08:01:04 +0000 2018,0.0,1.0,0.0,0.0,13
34,@BBC,Sun Jun 10 07:03:02 +0000 2018,0.442,0.491,0.067,0.9134,14
35,@BBC,Sat Jun 09 20:04:00 +0000 2018,0.0,1.0,0.0,0.0,15
36,@BBC,Sat Jun 09 19:02:05 +0000 2018,0.122,0.878,0.0,0.3612,16
37,@BBC,Sat Jun 09 18:04:03 +0000 2018,0.0,1.0,0.0,0.0,17
38,@BBC,Sat Jun 09 17:01:05 +0000 2018,0.171,0.829,0.0,0.5719,18
39,@BBC,Sat Jun 09 16:04:03 +0000 2018,0.222,0.623,0.156,0.4019,19
