,Outlet,Date,Positive,Negative,Neutral,Compound,Tweets Ago
40,@CBS,Sun Jun 10 15:00:01 +0000 2018,0.157,0.843,0.0,0.4184,0
41,@CBS,Sat Jun 09 21:00:02 +0000 2018,0.237,0.763,0.0,0.68,1
42,@CBS,Sat Jun 09 16:00:00 +0000 2018,0.0,1.0,0.0,0.0,2
43,@CBS,Fri Jun 08 19:46:17 +0000 2018,0.18,0.82,0.0,0.296,3
44,@CBS,Fri Jun 08 15:00:03 +0000 2018,0.0,1.0,0.0,0.0,4
45,@CBS,Fri Jun 08 13:58:15 +0000 2018,0.436,0.564,0.0,0.9078,5
46,@CBS,Thu Jun 07 17:03:26 +0000 2018,0.128,0.872,0.0,0.3612,6
47,@CBS,Wed Jun 06 21:00:24 +0000 2018,0.176,0.719,0.105,0.2732,7
48,@CBS,Wed Jun 06 00:08:30 +0000 2018,0.128,0.872,0.0,0.3595,8
49,@CBS,Tue Jun 05 22:23:35 +0000 2018,0.1,0.723,0.177,-0.4404,9
50,@CBS,Tue Jun 05 22:12:28 +0000 2018,0.176,0.824,0.0,0.4574,10
51,@CBS,Tue Jun 05 19:00:02 +0000 2018,0.155,0.845,0.0,0.5093,11
52,@CBS,Tue Jun 05 15:04:41 +0000 2018,0.0,1.0,0.0,0.0,12
53,@CBS,Mon Jun 04 17:00:00 +0000 2018,0.0,1.0,0.0,0.0,13
54,@CBS,Fri Jun 01 17:39:17 +0000 2018,0.062,0.807,0.131,-0.3903,14
55,@CBS,Fri Jun 01 17:00:03 +0000 2018,0.336,0.664,0.0,0.8442,15
56,@CBS,Thu May 31 23:50:00 +0000 2018,0.455,0.545,0.0,0.8932,16
57,@CBS,Wed May 30 15:07:34 +0000 2018,0.151,0.849,0.0,0.4926,17
58,@CBS,Mon May 28 21:00:01 +0000 2018,0.0,1.0,0.0,0.0,18
59,@CBS,Mon May 28 02:08:19 +0000 2018,0.0,1.0,0.0,0.0,19
60,@FoxNews,Sun Jun 10 15:21:56 +0000 2018,0.0,1.0,0.0,0.0,0
61,@FoxNews,Sun Jun 10 15:09:38 +0000 2018,0.0,1.0,0.0,0.0,1
62,@FoxNews,Sun Jun 10 14:56:08 +0000 2018,0.153,0.847,0.0,0.4404,2
63,@FoxNews,Sun Jun 10 14:37:19 +0000 2018,0.0,1.0,0.0,0.0,3
64,@FoxNews,Sun Jun 10 14:30:00 +0000 2018,0.0,0.734,0.266,-0.7003,4
65,@FoxNews,Sun Jun 10 14:18:29 +0000 2018,0.0,0.826,0.174,-0.6124,5
66,@FoxNews,Sun Jun 10 13:52:22 +0000 2018,0.0,0.769,0.231,-0.4588,6
67,@FoxNews,Sun Jun 10 13:38:39 +0000 2018,0.0,0.71,0.29,-0.6705,7
68,@FoxNews,Sun Jun 10 13:27:14 +0000 2018,0.135,0.865,0.0,0.4215,8
69,@FoxNews,Sun Jun 10 13:22:00 +0000 2018,0.0,1.0,0.0,0.0,9
70,@FoxNews,Sun Jun 10 13:14:13 +0000 2018,0.0,1.0,0.0,0.0,10
71,@FoxNews,Sun Jun 10 13:10:33 +0000 2018,0.0,1.0,0.0,0.0,11
72,@FoxNews,Sun Jun 10 13:00:00 +0000 2018,0.0,1.0,0.0,0.0,12
73,@FoxNews,Sun Jun 10 12:59:56 +0000 2018,0.0,0.867,0.133,-0.3182,13
74,@FoxNews,Sun Jun 10 12:41:35 +0000 2018,0.0,1.0,0.0,0.0,14
75,@FoxNews,Sun Jun 10 12:40:33 +0000 2018,0.0,1.0,0.0,0.0,15
76,@FoxNews,Sun Jun 10 12:31:00 +0000 2018,0.0,1.0,0.0,0.0,16
77,@FoxNews,Sun Jun 10 12:21:16 +0000 2018,0.0,1.0,0.0,0.0,17
78,@FoxNews,Sun Jun 10 12:11:44 +0000 2018,0.213,0.787,0.0,0.4019,18
79,@FoxNews,Sun Jun 10 11:44:59 +0000 2018,0.175,0.649,0.175,0.0,19
80,@nytimes,Sun Jun 10 15:21:27 +0000 2018,0.0,1.0,0.0,0.0,0
81,@nytimes,Sun Jun 10 15:15:05 +0000 2018,0.167,0.833,0.0,0.4215,1
82,@nytimes,Sun Jun 10 15:00:08 +0000 2018,0.0,1.0,0.0,0.0,2
83,@nytimes,Sun Jun 10 14:45:06 +0000 2018,0.167,0.833,0.0,0.2023,3
84,@nytimes,Sun Jun 10 14:30:11 +0000 2018,0.353,0.647,0.0,0.8979,4
85,@nytimes,Sun Jun 10 14:27:55 +0000 2018,0.0,1.0,0.0,0.0,5
86,@nytimes,Sun Jun 10 14:15:07 +0000 2018,0.042,0.958,0.0,0.0258,6
87,@nytimes,Sun Jun 10 14:11:26 +0000 2018,0.0,1.0,0.0,0.0,7
88,@nytimes,Sun Jun 10 14:04:43 +0000 2018,0.09,0.704,0.206,-0.3182,8
89,@nytimes,Sun Jun 10 13:51:04 +0000 2018,0.0,1.0,0.0,0.0,9
90,@nytimes,Sun Jun 10 13:35:07 +0000 2018,0.0,1.0,0.0,0.0,10
91,@nytimes,Sun Jun 10 13:29:05 +0000 2018,0.0,1.0,0.0,0.0,11
92,@nytimes,Sun Jun 10 13:00:08 +0000 2018,0.0,1.0,0.0,0.0,12
93,@nytimes,Sun Jun 10 12:31:06 +0000 2018,0.0,1.0,0.0,0.0,13
94,@nytimes,Sun Jun 10 12:15:03 +0000 2018,0.0,1.0,0.0,0.0,14
95,@nytimes,Sun Jun 10 12:14:36 +0000 2018,0.0,1.0,0.0,0.0,15
96,@nytimes,Sun Jun 10 11:46:35 +0000 2018,0.0,1.0,0.0,0.0,16
97,@nytimes,Sun Jun 10 11:30:09 +0000 2018,0.138,0.711,0.151,-0.0772,17
98,@nytimes,Sun Jun 10 11:14:25 +0000 2018,0.0,0.89,0.11,-0.1531,18
99,@nytimes,Sun Jun 10 11:01:25 +0000 2018,0.0,1.0,0.0,0.0,19
