,Outlet,Date,Positive,Negative,Neutral,Compound,Tweets Ago
0,@CNN,Thu Jun 14 16:16:03 +0000 2018,0.16,0.84,0.0,0.2732,0
1,@CNN,Thu Jun 14 16:09:06 +0000 2018,0.167,0.833,0.0,0.5267,1
2,@CNN,Thu Jun 14 16:03:28 +0000 2018,0.0,0.828,0.172,-0.4019,2
3,@CNN,Thu Jun 14 15:55:04 +0000 2018,0.0,0.857,0.143,-0.128,3
4,@CNN,Thu Jun 14 15:48:29 +0000 2018,0.296,0.704,0.0,0.6369,4
5,@CNN,Thu Jun 14 15:41:06 +0000 2018,0.0,0.783,0.217,-0.3612,5
6,@CNN,Thu Jun 14 15:34:06 +0000 2018,0.0,1.0,0.0,0.0,6
7,@CNN,Thu Jun 14 15:27:05 +0000 2018,0.195,0.805,0.0,0.5267,7
8,@CNN,Thu Jun 14 15:21:09 +0000 2018,0.252,0.748,0.0,0.4019,8
9,@CNN,Thu Jun 14 15:16:06 +0000 2018,0.0,1.0,0.0,0.0,9
10,@CNN,Thu Jun 14 15:11:06 +0000 2018,0.0,0.833,0.167,-0.5267,10
11,@CNN,Thu Jun 14 15:06:00 +0000 2018,0.319,0.681,0.0,0.8573,11
12,@CNN,Thu Jun 14 14:59:04 +0000 2018,0.0,0.777,0.223,-0.3182,12
13,@CNN,Thu Jun 14 14:52:03 +0000 2018,0.0,1.0,0.0,0.0,13
14,@CNN,Thu Jun 14 14:47:03 +0000 2018,0.0,1.0,0.0,0.0,14
15,@CNN,Thu Jun 14 14:40:08 +0000 2018,0.172,0.828,0.0,0.3612,15
16,@CNN,Thu Jun 14 14:33:03 +0000 2018,0.218,0.782,0.0,0.5994,16
17,@CNN,Thu Jun 14 14:26:05 +0000 2018,0.103,0.839,0.058,0.2382,17
18,@CNN,Thu Jun 14 14:19:03 +0000 2018,0.0,0.827,0.173,-0.3182,18
19,@CNN,Thu Jun 14 14:12:03 +0000 2018,0.0,1.0,0.0,0.0,19
20,@BBC,Thu Jun 14 16:00:21 +0000 2018,0.137,0.863,0.0,0.2263,0
21,@BBC,Thu Jun 14 15:13:23 +0000 2018,0.127,0.719,0.154,-0.2023,1
22,@BBC,Thu Jun 14 13:10:42 +0000 2018,0.203,0.642,0.155,-0.0258,2
23,@BBC,Thu Jun 14 13:01:07 +0000 2018,0.155,0.845,0.0,0.541,3
24,@BBC,Thu Jun 14 12:24:25 +0000 2018,0.231,0.681,0.088,0.3774,4
25,@BBC,Thu Jun 14 12:11:30 +0000 2018,0.0,0.902,0.098,-0.34,5
26,@BBC,Thu Jun 14 12:01:05 +0000 2018,0.192,0.808,0.0,0.4753,6
27,@BBC,Thu Jun 14 11:00:18 +0000 2018,0.264,0.597,0.138,0.6124,7
28,@BBC,Thu Jun 14 08:01:02 +0000 2018,0.0,1.0,0.0,0.0,8
29,@BBC,Thu Jun 14 07:27:04 +0000 2018,0.0,1.0,0.0,0.0,9
30,@BBC,Thu Jun 14 07:01:03 +0000 2018,0.48,0.52,0.0,0.8074,10
31,@BBC,Wed Jun 13 19:03:07 +0000 2018,0.0,1.0,0.0,0.0,11
32,@BBC,Wed Jun 13 18:28:04 +0000 2018,0.0,0.863,0.137,-0.4005,12
33,@BBC,Wed Jun 13 18:01:04 +0000 2018,0.244,0.756,0.0,0.6705,13
34,@BBC,Wed Jun 13 16:30:31 +0000 2018,0.167,0.833,0.0,0.6369,14
35,@BBC,Wed Jun 13 16:25:17 +0000 2018,0.0,0.871,0.129,-0.4019,15
36,@BBC,Wed Jun 13 16:01:03 +0000 2018,0.0,1.0,0.0,0.0,16
37,@BBC,Wed Jun 13 12:47:08 +0000 2018,0.0,1.0,0.0,0.0,17
38,@BBC,Wed Jun 13 12:03:07 +0000 2018,0.0,1.0,0.0,0.0,18
39,@BBC,Wed Jun 13 11:00:15 +0000 2018,0.0,1.0,0.0,0.0,19
40,@CBS,Thu Jun 14 16:19:32 +0000 2018,0.147,0.734,0.12,0.1779,0
41,@CBS,Tue Jun 12 00:19:23 +0000 2018,0.134,0.551,0.315,-0.5562,1
