,Outlet,Date,Positive,Negative,Neutral,Compound,Tweets Ago
42,@CBS,Mon Jun 11 22:23:06 +0000 2018,0.171,0.829,0.0,0.5093,2
43,@CBS,Mon Jun 11 19:01:38 +0000 2018,0.0,0.833,0.167,-0.296,3
44,@CBS,Mon Jun 11 14:00:37 +0000 2018,0.0,1.0,0.0,0.0,4
45,@CBS,Mon Jun 11 06:19:36 +0000 2018,0.0,1.0,0.0,0.0,5
46,@CBS,Mon Jun 11 06:04:41 +0000 2018,0.22,0.78,0.0,0.4767,6
47,@CBS,Mon Jun 11 03:10:33 +0000 2018,0.406,0.594,0.0,0.8478,7
48,@CBS,Mon Jun 11 03:02:06 +0000 2018,0.463,0.537,0.0,0.92,8
49,@CBS,Mon Jun 11 02:58:30 +0000 2018,0.175,0.737,0.088,0.4404,9
50,@CBS,Mon Jun 11 02:56:40 +0000 2018,0.153,0.847,0.0,0.4404,10
51,@CBS,Mon Jun 11 02:56:10 +0000 2018,0.467,0.533,0.0,0.836,11
52,@CBS,Mon Jun 11 02:53:00 +0000 2018,0.0,1.0,0.0,0.0,12
53,@CBS,Mon Jun 11 02:47:29 +0000 2018,0.318,0.682,0.0,0.6369,13
54,@CBS,Mon Jun 11 02:44:50 +0000 2018,0.543,0.457,0.0,0.7978,14
55,@CBS,Mon Jun 11 02:44:37 +0000 2018,0.516,0.484,0.0,0.9523,15
56,@CBS,Mon Jun 11 02:33:09 +0000 2018,0.302,0.698,0.0,0.5994,16
57,@CBS,Mon Jun 11 02:29:18 +0000 2018,0.123,0.877,0.0,0.4215,17
58,@CBS,Mon Jun 11 02:23:56 +0000 2018,0.517,0.483,0.0,0.8932,18
59,@CBS,Mon Jun 11 02:21:03 +0000 2018,0.0,1.0,0.0,0.0,19
60,@FoxNews,Thu Jun 14 16:15:34 +0000 2018,0.226,0.565,0.21,0.0516,0
61,@FoxNews,Thu Jun 14 16:12:50 +0000 2018,0.0,1.0,0.0,0.0,1
62,@FoxNews,Thu Jun 14 16:05:05 +0000 2018,0.0,0.756,0.244,-0.6705,2
63,@FoxNews,Thu Jun 14 16:00:00 +0000 2018,0.382,0.618,0.0,0.8718,3
64,@FoxNews,Thu Jun 14 15:59:45 +0000 2018,0.0,1.0,0.0,0.0,4
65,@FoxNews,Thu Jun 14 15:48:51 +0000 2018,0.17,0.638,0.191,-0.1027,5
66,@FoxNews,Thu Jun 14 15:42:27 +0000 2018,0.254,0.746,0.0,0.5267,6
67,@FoxNews,Thu Jun 14 15:27:20 +0000 2018,0.0,0.882,0.118,-0.34,7
68,@FoxNews,Thu Jun 14 15:07:26 +0000 2018,0.333,0.667,0.0,0.6114,8
69,@FoxNews,Thu Jun 14 15:02:37 +0000 2018,0.0,1.0,0.0,0.0,9
70,@FoxNews,Thu Jun 14 14:57:44 +0000 2018,0.0,0.779,0.221,-0.5267,10
71,@FoxNews,Thu Jun 14 14:51:40 +0000 2018,0.0,0.506,0.494,-0.8689,11
72,@FoxNews,Thu Jun 14 14:43:30 +0000 2018,0.0,0.903,0.097,-0.1027,12
73,@FoxNews,Thu Jun 14 14:35:57 +0000 2018,0.0,0.843,0.157,-0.4215,13
74,@FoxNews,Thu Jun 14 14:34:04 +0000 2018,0.171,0.711,0.118,0.2732,14
75,@FoxNews,Thu Jun 14 14:31:56 +0000 2018,0.0,1.0,0.0,0.0,15
76,@FoxNews,Thu Jun 14 14:30:01 +0000 2018,0.0,1.0,0.0,0.0,16
77,@FoxNews,Thu Jun 14 14:24:45 +0000 2018,0.0,1.0,0.0,0.0,17
78,@FoxNews,Thu Jun 14 14:14:29 +0000 2018,0.0,1.0,0.0,0.0,18
79,@FoxNews,Thu Jun 14 14:06:48 +0000 2018,0.0,1.0,0.0,0.0,19
80,@nytimes,Thu Jun 14 16:05:07 +0000 2018,0.0,0.909,0.091,-0.296,0
81,@nytimes,Thu Jun 14 15:55:03 +0000 2018,0.0,0.879,0.121,-0.4404,1
82,@nytimes,Thu Jun 14 15:45:03 +0000 2018,0.0,1.0,0.0,0.0,2
83,@nytimes,Thu Jun 14 15:44:51 +0000 2018,0.0,1.0,0.0,0.0,3
84,@nytimes,Thu Jun 14 15:42:50 +0000 2018,0.0,1.0,0.0,0.0,4
85,@nytimes,Thu Jun 14 15:30:10 +0000 2018,0.0,0.78,0.22,-0.5859,5
86,@nytimes,Thu Jun 14 15:15:08 +0000 2018,0.0,0.888,0.112,-0.2263,6
87,@nytimes,Thu Jun 14 15:07:04 +0000 2018,0.15,0.752,0.097,0.296,7
88,@nytimes,Thu Jun 14 14:55:40 +0000 2018,0.0,0.833,0.167,-0.4215,8
89,@nytimes,Thu Jun 14 14:53:44 +0000 2018,0.228,0.772,0.0,0.6808,9
90,@nytimes,Thu Jun 14 14:52:53 +0000 2018,0.0,1.0,0.0,0.0,10
91,@nytimes,Thu Jun 14 14:30:06 +0000 2018,0.0,1.0,0.0,0.0,11
92,@nytimes,Thu Jun 14 14:19:03 +0000 2018,0.263,0.737,0.0,0.6908,12
93,@nytimes,Thu Jun 14 14:11:06 +0000 2018,0.138,0.862,0.0,0.4927,13
94,@nytimes,Thu Jun 14 14:00:09 +0000 2018,0.0,0.857,0.143,-0.5411,14
95,@nytimes,Thu Jun 14 13:46:05 +0000 2018,0.153,0.847,0.0,0.5574,15
96,@nytimes,Thu Jun 14 13:32:01 +0000 2018,0.0,0.845,0.155,-0.5106,16
97,@nytimes,Thu Jun 14 13:16:02 +0000 2018,0.0,0.62,0.38,-0.8689,17
98,@nytimes,Thu Jun 14 13:00:10 +0000 2018,0.0,1.0,0.0,0.0,18
99,@nytimes,Thu Jun 14 12:46:05 +0000 2018,0.151,0.849,0.0,0.4939,19
