,Outlet,Date,Positive,Negative,Neutral,Compound,Tweets Ago
0,@CNN,Sat Jun 02 06:45:00 +0000 2018,0.161,0.839,0.0,0.3612,0
1,@CNN,Sat Jun 02 06:30:00 +0000 2018,0.0,0.887,0.113,-0.4215,1
2,@CNN,Sat Jun 02 06:15:03 +0000 2018,0.0,1.0,0.0,0.0,2
3,@CNN,Sat Jun 02 06:00:45 +0000 2018,0.0,0.483,0.517,-0.9524,3
4,@CNN,Sat Jun 02 05:45:01 +0000 2018,0.0,0.816,0.184,-0.6705,4
5,@CNN,Sat Jun 02 05:30:05 +0000 2018,0.106,0.65,0.244,-0.5267,5
6,@CNN,Sat Jun 02 05:15:03 +0000 2018,0.108,0.678,0.214,-0.3612,6
7,@CNN,Sat Jun 02 05:00:08 +0000 2018,0.108,0.678,0.214,-0.3612,7
8,@CNN,Sat Jun 02 05:00:08 +0000 2018,0.122,0.769,0.109,0.0772,8
9,@CNN,Sat Jun 02 04:45:00 +0000 2018,0.31,0.69,0.0,0.802,9
10,@CNN,Sat Jun 02 04:30:08 +0000 2018,0.191,0.739,0.07,0.4215,10
11,@CNN,Sat Jun 02 04:29:25 +0000 2018,0.0,0.868,0.132,-0.4939,11
12,@CNN,Sat Jun 02 04:15:03 +0000 2018,0.0,0.795,0.205,-0.5574,12
13,@CNN,Sat Jun 02 04:08:02 +0000 2018,0.187,0.813,0.0,0.3182,13
14,@CNN,Sat Jun 02 04:00:00 +0000 2018,0.167,0.833,0.0,0.6369,14
15,@CNN,Sat Jun 02 03:45:03 +0000 2018,0.0,0.799,0.201,-0.5043,15
16,@CNN,Sat Jun 02 03:30:07 +0000 2018,0.147,0.637,0.216,-0.34,16
17,@CNN,Sat Jun 02 03:15:06 +0000 2018,0.0,0.705,0.295,-0.7964,17
18,@CNN,Sat Jun 02 03:00:18 +0000 2018,0.073,0.927,0.0,0.2023,18
19,@CNN,Sat Jun 02 02:45:01 +0000 2018,0.0,1.0,0.0,0.0,19
20,@CNN,Sat Jun 02 02:30:06 +0000 2018,0.0,1.0,0.0,0.0,20
21,@CNN,Sat Jun 02 02:23:04 +0000 2018,0.0,1.0,0.0,0.0,21
22,@CNN,Sat Jun 02 02:15:10 +0000 2018,0.114,0.714,0.171,-0.296,22
23,@CNN,Sat Jun 02 02:10:27 +0000 2018,0.0,1.0,0.0,0.0,23
24,@CNN,Sat Jun 02 01:30:09 +0000 2018,0.187,0.813,0.0,0.3182,24
25,@CNN,Sat Jun 02 01:23:13 +0000 2018,0.068,0.822,0.11,-0.2263,25
26,@CNN,Sat Jun 02 01:21:59 +0000 2018,0.069,0.691,0.24,-0.5719,26
27,@CNN,Sat Jun 02 01:15:09 +0000 2018,0.0,0.848,0.152,-0.3612,27
28,@CNN,Sat Jun 02 01:06:03 +0000 2018,0.0,1.0,0.0,0.0,28
29,@CNN,Sat Jun 02 01:01:03 +0000 2018,0.0,1.0,0.0,0.0,29
30,@CNN,Sat Jun 02 00:52:04 +0000 2018,0.102,0.728,0.17,-0.1027,30
31,@CNN,Sat Jun 02 00:39:02 +0000 2018,0.0,0.894,0.106,-0.2263,31
32,@CNN,Sat Jun 02 00:25:03 +0000 2018,0.137,0.863,0.0,0.1511,32
33,@CNN,Sat Jun 02 00:10:07 +0000 2018,0.0,1.0,0.0,0.0,33
34,@CNN,Fri Jun 01 23:56:02 +0000 2018,0.144,0.535,0.321,-0.5106,34
35,@CNN,Fri Jun 01 23:42:04 +0000 2018,0.0,1.0,0.0,0.0,35
36,@CNN,Fri Jun 01 23:28:04 +0000 2018,0.147,0.637,0.216,-0.34,36
37,@CNN,Fri Jun 01 23:14:33 +0000 2018,0.31,0.69,0.0,0.802,37
38,@CNN,Fri Jun 01 22:59:09 +0000 2018,0.0,0.877,0.123,-0.4215,38
39,@CNN,Fri Jun 01 22:53:50 +0000 2018,0.102,0.728,0.17,-0.1027,39
40,@CNN,Fri Jun 01 22:46:04 +0000 2018,0.154,0.846,0.0,0.4767,40
41,@CNN,Fri Jun 01 22:33:02 +0000 2018,0.0,1.0,0.0,0.0,41
42,@CNN,Fri Jun 01 22:20:07 +0000 2018,0.0,1.0,0.0,0.0,42
43,@CNN,Fri Jun 01 22:04:02 +0000 2018,0.137,0.558,0.305,-0.5106,43
44,@CNN,Fri Jun 01 21:51:06 +0000 2018,0.0,0.816,0.184,-0.6705,44
45,@CNN,Fri Jun 01 21:33:05 +0000 2018,0.0,0.57,0.43,-0.7783,45
46,@CNN,Fri Jun 01 21:19:07 +0000 2018,0.0,1.0,0.0,0.0,46
47,@CNN,Fri Jun 01 21:03:10 +0000 2018,0.0,0.879,0.121,-0.3252,47
48,@CNN,Fri Jun 01 20:48:36 +0000 2018,0.0,1.0,0.0,0.0,48
49,@CNN,Fri Jun 01 20:35:10 +0000 2018,0.0,0.915,0.085,-0.1027,49
50,@CNN,Fri Jun 01 20:20:46 +0000 2018,0.114,0.714,0.171,-0.296,50
51,@CNN,Fri Jun 01 20:06:16 +0000 2018,0.147,0.637,0.216,-0.34,51
52,@CNN,Fri Jun 01 19:51:56 +0000 2018,0.144,0.535,0.321,-0.5106,52
53,@CNN,Fri Jun 01 19:37:45 +0000 2018,0.0,0.92,0.08,-0.1027,53
54,@CNN,Fri Jun 01 19:23:45 +0000 2018,0.0,1.0,0.0,0.0,54
55,@CNN,Fri Jun 01 19:10:00 +0000 2018,0.0,1.0,0.0,0.0,55
56,@CNN,Fri Jun 01 19:01:09 +0000 2018,0.0,0.912,0.088,-0.34,56
57,@CNN,Fri Jun 01 18:46:58 +0000 2018,0.0,1.0,0.0,0.0,57
58,@CNN,Fri Jun 01 18:42:26 +0000 2018,0.0,1.0,0.0,0.0,58
59,@CNN,Fri Jun 01 18:36:09 +0000 2018,0.115,0.885,0.0,0.296,59
60,@CNN,Fri Jun 01 18:30:05 +0000 2018,0.235,0.765,0.0,0.673,60
61,@CNN,Fri Jun 01 18:20:00 +0000 2018,0.0,1.0,0.0,0.0,61
62,@CNN,Fri Jun 01 18:10:06 +0000 2018,0.0,0.57,0.43,-0.7783,62
63,@CNN,Fri Jun 01 18:01:41 +0000 2018,0.0,0.841,0.159,-0.5574,63
64,@CNN,Fri Jun 01 17:48:33 +0000 2018,0.0,1.0,0.0,0.0,64
65,@CNN,Fri Jun 01 17:36:00 +0000 2018,0.154,0.846,0.0,0.4767,65
66,@CNN,Fri Jun 01 17:20:34 +0000 2018,0.0,1.0,0.0,0.0,66
67,@CNN,Fri Jun 01 17:10:06 +0000 2018,0.0,0.92,0.08,-0.1027,67
68,@CNN,Fri Jun 01 17:01:13 +0000 2018,0.161,0.839,0.0,0.3612,68
69,@CNN,Fri Jun 01 16:50:05 +0000 2018,0.0,0.816,0.184,-0.6705,69
70,@CNN,Fri Jun 01 16:30:13 +0000 2018,0.173,0.827,0.0,0.3182,70
71,@CNN,Fri Jun 01 16:19:06 +0000 2018,0.112,0.788,0.1,0.0772,71
72,@CNN,Fri Jun 01 16:06:12 +0000 2018,0.0,0.877,0.123,-0.4215,72
73,@CNN,Fri Jun 01 15:46:35 +0000 2018,0.0,1.0,0.0,0.0,73
74,@CNN,Fri Jun 01 15:35:39 +0000 2018,0.31,0.69,0.0,0.802,74
75,@CNN,Fri Jun 01 15:22:56 +0000 2018,0.191,0.739,0.07,0.4215,75
76,@CNN,Fri Jun 01 15:12:04 +0000 2018,0.0,0.799,0.201,-0.5043,76
77,@CNN,Fri Jun 01 15:03:00 +0000 2018,0.147,0.637,0.216,-0.34,77
78,@CNN,Fri Jun 01 14:50:05 +0000 2018,0.246,0.754,0.0,0.7351,78
79,@CNN,Fri Jun 01 14:35:00 +0000 2018,0.0,1.0,0.0,0.0,79
80,@CNN,Fri Jun 01 14:25:05 +0000 2018,0.086,0.718,0.196,-0.5106,80
81,@CNN,Fri Jun 01 14:15:00 +0000 2018,0.167,0.833,0.0,0.6369,81
82,@CNN,Fri Jun 01 14:05:03 +0000 2018,0.0,0.918,0.082,-0.2235,82
83,@CNN,Fri Jun 01 13:55:04 +0000 2018,0.068,0.932,0.0,0.1531,83
84,@CNN,Fri Jun 01 13:51:30 +0000 2018,0.0,1.0,0.0,0.0,84
85,@CNN,Fri Jun 01 13:45:06 +0000 2018,0.0,0.57,0.43,-0.7783,85
86,@CNN,Fri Jun 01 13:35:09 +0000 2018,0.114,0.714,0.171,-0.296,86
87,@CNN,Fri Jun 01 13:25:04 +0000 2018,0.0,0.714,0.286,-0.7184,87
88,@CNN,Fri Jun 01 13:17:31 +0000 2018,0.0,0.726,0.274,-0.7506,88
89,@CNN,Fri Jun 01 13:05:07 +0000 2018,0.089,0.911,0.0,0.1695,89
90,@CNN,Fri Jun 01 12:56:26 +0000 2018,0.0,1.0,0.0,0.0,90
91,@CNN,Fri Jun 01 12:39:40 +0000 2018,0.0,0.766,0.234,-0.6705,91
92,@CNN,Fri Jun 01 12:32:16 +0000 2018,0.0,1.0,0.0,0.0,92
93,@CNN,Fri Jun 01 12:22:07 +0000 2018,0.175,0.825,0.0,0.5267,93
94,@CNN,Fri Jun 01 12:17:35 +0000 2018,0.156,0.844,0.0,0.3244,94
